probe	geneid
2743197	100507487
3065363	10156
3065373	10156
3721611	94086
3721613	94086
3721615	94086
3721617	94086
2335273	105378702
3435716	100507091
2317884	284661
3735417	100507218
3408854	105369705
3993431	619455
3963558	101927551
3963560	101927551
3873594	101929010
2470729	101926966
3758392	101929767
2827224	100131792
3065397	222234
2891043	90933
2471351	348654
4005239	286442
3645092	5170
3645094	5170
3171601	728903
3206403	728903
2840265	257358
3466107	10154
3440468	100652846
3053679	441242
3333339	399900
2693616	79364
2515459	254042
2528123	285181
3501205	283485
3699628	4166
3933444	89766
3031363	65999
3808836	101927229
3111756	55638
2757221	100507054
3645836	7627
2950238	100507463
2994172	100316868
2609941	8536
3336463	5936
2336688	6512
3243757	101929445
3552048	283601
3416108	7786
2659235	100128262
2331921	65243
2331923	65243
3233841	100507127
2432201	727820
2433684	727820
2432193	727820
2432336	727820
2433681	727820
3652334	730094
3943364	100130269
2865924	100289347
2866016	100289347
2866018	100289347
3458424	56901
3734694	30833
3265131	374354
3831559	284408
3831561	284408
3647033	440337
3700772	105371352
3719746	30837
3162015	101929407
2551968	101927043
3529794	29082
3911755	51497
3609313	105370982
3209345	286382
3209347	286382
3209349	286382
3334604	100996455
3273841	100129894
3155923	51305
2610859	100130924
3135559	6917
2376680	284581
2938010	5134
3778105	284219
3778108	284219
3642871	4833
3642873	4833
2713368	100129516
3872270	57191
2847000	101929176
3952226	100129113
3663983	57176
3866026	100506012
2539518	285147
3993338	103611090
3993340	103611090
2315353	100996486
2382313	100996486
2738066	101929468
3055964	440044
3945581	27350
2539924	100996549
3238442	100130992
3238447	100130992
4053300	728690
4053303	728690
3172220	100996667
3173224	100996667
3173232	100996667
3173234	100996667
3207138	100996667
3405357	105369662
2989467	100505904
3338125	100505834
2810864	115827
4042372	284628
2631002	101927374
2729128	23284
2729130	23284
2729132	23284
3509140	90627
3509142	90627
3509144	90627
3449947	254013
4017493	101928335
2920803	100996634
3180809	375748
3339754	5029
3473373	283454
2800366	285690
3283813	100505502
3283816	100505502
3281803	100128811
3904654	140710
3766611	400612
3919809	105369306
3857718	284395
3677988	100507501
3171398	643792
3171400	643792
4050138	643792
4050140	643792
4051344	643792
4051346	643792
3086517	349196
3461337	4193
2650594	101243545
3026315	105375527
2457620	148362
4045236	148362
3855211	23373
3855213	23373
3637800	4916
2910634	2729
2910636	2729
2910643	2729
2910645	2729
4001360	6322
2752763	285500
3794393	400660
3178345	497256
3213494	497256
2726049	2560
2816273	22987
2549535	6546
3291490	283045
2355863	400818
2355865	400818
2398341	400818
2331106	26292
2491826	284950
2936305	100289495
3340881	100506127
3586719	100288637
3586721	100288637
3151879	286052
2357427	642691
2564337	642691
4038506	642691
4038508	642691
2910331	401264
2618415	285281
3179121	100128909
3315760	6050
3109894	51366
2809688	105378967
2332873	51058
3355336	101929473
3174593	100507540
3853754	4218
2651880	80012
3757272	100130654
3034983	51608
2750412	100505989
2946908	439938
3525534	55739
3349091	283140
3576266	283588
2835614	11346
2835617	11346
3493883	105370259
2776189	101928978
2466669	101927554
2769118	100288413
3760335	474170
3760455	474170
3401421	105369606
4039884	414060
3733731	100499467
3733746	100499467
3733749	100499467
2882705	386627
2403496	105376896
3991168	101928578
2937823	401289
2721737	285540
2356017	55672
3655982	101928595
3328204	51144
3956656	100874123
2568467	100128131
2389478	55083
2512778	100130761
2644194	4690
3358321	283232
3203379	3301
3742321	388323
3742314	388323
3742319	388323
3856047	440515
3636761	283728
3636771	283728
3636775	283728
2376523	284577
2635847	257068
3220947	158402
2683290	285300
3395196	399959
2536965	285097
3232831	100507059
3670759	100996430
2387703	1131
2387707	1131
3796026	116
3796028	116
3641818	441733
3641820	441733
2902425	4050
2856481	4338
3083915	79648
3083917	79648
3083919	79648
3083921	79648
2797273	651430
3619310	644809
2670191	10289
3098174	9821
3098176	9821
2569550	644903
3634633	1381
2936206	729681
2907394	401261
2907396	401261
3282003	23590
3586102	100130111
3668688	400541
3696939	400541
3439466	574538
2445957	55103
3057338	441273
3272729	10844
3903461	284808
2323647	644083
3245391	119016
3287527	119016
3288186	119016
2455292	284669
2455298	284669
2662548	152302
2796671	100506229
3598844	102723165
2646008	100507389
2871677	5229
2871679	5229
3434972	338799
3134345	286068
3341384	646029
3488470	283516
3488472	283516
3091928	79618
2446425	100527964
3177671	100130433
3440549	55846
3440553	55846
3876069	101929329
3876081	101929329
3897264	101929329
3934331	5822
3934333	5822
2689002	101929717
3909809	101927678
2416409	101927034
3590334	137392
3590327	137392
3404698	101928100
3720381	8557
2443682	101928650
2994106	3204
